SKU,OnHand_Pcs,OnHand_MT,MT_0_30d,MT_31_60d,MT_61_90d,MT_90plus_d,Oldest_Age_Days,WtdAvg_Age_Days,Note
50X50X2,4224,76.397,64.532,11.865,0,0,54,21,
25X25X2,7970,69.071,4.541,64.530,0,0,46,44,
50X50X2.5,2796,62.554,6.578,55.976,0,0,55,51,
75X25X2,2793,50.515,0,0,50.515,0,80,80,
32NBX2.5,3404,50.243,50.243,0,0,0,28,10,
25X25X1.6,6675,47.083,39.677,7.406,0,0,43,16,
60X40X2.8,1954,48.653,0,0,48.653,0,83,81,
75X25X1.6,2723,39.728,0,0,39.728,0,67,67,
100X50X2.8,1022,38.925,38.925,0,0,0,8,8,
32NBX2,3204,38.307,32.245,6.062,0,0,32,9,
40X20X2,3201,33.772,33.044,0.728,0,0,35,6,
50X25X2.8,1799,32.931,0,32.931,0,0,60,59,
100X50X1.6,1412,31.241,31.087,0.155,0,0,60,3,
30X30X1.6,3689,31.581,31.573,0.009,0,0,38,6,
40NBX4,1147,28.102,28.102,0,0,0,21,21,
38X38X1.6,2505,27.486,0,27.486,0,0,50,50,
100X50X2.5,852,29.094,29.094,0,0,0,8,8,
40X20X1.6,2708,23.183,23.183,0,0,0,6,5,
30X30X2,2406,25.384,25.384,0,0,0,8,7,
75X25X2.8,1009,25.123,0,0,25.123,0,82,81,
25X25X2.8,1652,19.346,19.346,0,0,0,11,11,
32NBX1.6,2311,22.323,22.323,0,0,0,5,4,
50X50X4,664,23.018,23.018,0,0,0,24,23,
80X40X2.8,1043,31.472,22.993,0,8.479,0,73,32,
30X30X2.5,1716,22.226,20.866,1.360,0,0,38,10,
40NBX2.5,1321,22.381,22.381,0,0,0,24,24,
60X60X2.8,251,7.574,7.574,0,0,0,15,15,
80X40X4,445,18.780,18.780,0,0,0,17,16,
80NBX1.6,900,18.450,18.450,0,0,0,6,6,
50NBX2.8,792,18.868,18.868,0,0,0,21,19,
40NBX2.8,984,18.550,18.550,0,0,0,22,22,
25X25X2.5,2011,21.312,18.800,2.512,0,0,41,15,
20NBX2.8,1647,16.445,16.445,0,0,0,29,29,
65NBX2.5,425,11.571,11.571,0,0,0,16,16,
25NBX2.8,666,8.526,8.526,0,0,0,12,12,
50X50X1.6,957,13.962,13.962,0,0,0,1,1,
40NBX2,981,13.442,13.442,0,0,0,24,24,
60X40X1.6,977,14.254,14.254,0,0,0,26,26,
50X50X2.8,1084,26.990,26.990,0,0,0,25,25,
50NBX2.5,650,13.898,13.898,0,0,0,20,20,
65NBX2.8,420,12.755,12.755,0,0,0,16,16,
65NBX2,488,10.701,10.701,0,0,0,16,16,
38X38X4,0,0,0,0,0,0,,,Over-dispatched (produced 97 < dispatched 261) - net 0 on-hand
100X50X3.2,234,10.129,0,10.129,0,0,59,59,
75X25X2.5,415,9.285,0,0,9.285,0,78,78,
38X38X2.2,457,6.781,0,0,0,6.781,104,104,Aged - all 90+ days (last produced 2026-04-01)
65NBX4,295,12.729,12.729,0,0,0,17,16,
40X20X2.8,508,7.289,0,7.289,0,0,38,37,
40X20X2.5,319,4.132,0,4.132,0,0,34,34,
75X75X2.5,135,4.658,4.658,0,0,0,14,14,
40X20X3,248,3.785,0,3.785,0,0,34,34,
32NBX2.8,493,8.089,2.084,6.005,0,0,31,24,
25X25X3.2,248,3.063,3.063,0,0,0,11,11,
40X20X2.2,215,2.477,0,2.477,0,0,34,34,
50X50X2.2,100,1.981,0,0,0,1.981,104,104,Aged - all 90+ days (last produced 2026-04-01)
50NBX4,0,0,0,0,0,0,,,Over-dispatched (produced 274 < dispatched 300) - net 0 on-hand
TOTAL,,1270.610,835.230,244.840,181.780,8.760,,29.7,
